5939.81	8720.82
2917.51	8692.11
7501.16	11311.79
13495.82	4403.58
4538.29	12962.16
9039.99	3434.43
9076.51	1783.71
9050.26	8608.63
11966.86	3383.15
8995.59	10484.04
15014.98	12204.48
4472.13	11250.60
13442.57	2680.71
2914.15	10379.68
13477.00	9517.30
10567.74	2573.70
15079.50	1648.25
15021.25	5276.37
7547.93	9590.09
9009.25	12115.80
15072.45	6852.03
5933.88	13759.69
10400.65	955.28
4516.19	7844.29
15079.60	10432.30
13484.97	6021.58
12099.89	12101.88
13599.26	11347.53
11929.83	6897.34
14954.26	8705.18
