0	3.02244	3.02505	100	4.4669	100	100	3.11247	100	3.52799	9.72083	2.9247	100	3.45057	7.57916	100	100	100	1.82803	4.57683	100	5.03887	100	1.67182	9.29865	100	7.02696	8.09733	100	9.01446	
3.02244	0	5.27945	100	4.5673	100	100	6.13332	100	6.33672	12.597	2.99378	100	1.68757	10.5917	100	100	100	4.71669	6.98791	100	5.89736	100	1.80958	12.286	100	9.79503	11.0069	100	12.0368	
3.02505	5.27945	0	100	3.39151	8.02626	9.65743	3.11557	100	1.70836	7.56666	3.02965	100	4.68076	6.23946	9.26057	100	9.64251	1.72234	1.70903	8.78714	2.90664	10.7547	4.57533	7.6293	7.98701	4.66611	6.0982	100	7.89577	
100	100	100	0	100	4.56001	5.13751	100	1.8382	7.56466	7.94745	100	1.72369	100	5.11375	3.45284	3.17803	1.75747	100	8.92231	2.91216	100	4.63366	100	6.23328	1.61804	7.82384	6.94472	2.94468	4.54212	
4.4669	4.5673	3.39151	100	0	10.5377	100	6.26986	100	5.09986	10.5041	1.71284	100	3.05074	9.57954	12.0114	100	12.9986	4.51982	4.55036	12.1779	1.6074	13.3616	5.11792	10.8406	11.3232	7.61038	9.20371	100	11.2523	
100	100	8.02626	4.56001	10.5377	0	1.65112	5.17421	2.92732	7.04975	100	100	4.46663	100	100	1.75353	6.2981	6.25845	6.33391	8.68142	100	10.7823	2.828	100	100	100	100	100	100	100	
100	100	9.65743	5.13751	100	1.65112	0	6.82497	3.30338	8.70071	100	100	4.45725	100	100	1.68756	6.00452	6.89482	7.95463	10.3323	7.85106	12.3814	1.56194	100	10.5278	6.11507	100	100	100	9.08046	
3.11247	6.13332	3.11557	100	6.26986	5.17421	6.82497	0	100	1.87621	6.96477	5.28576	100	6.38658	4.51904	6.22279	100	100	1.79451	3.50741	100	6.0204	7.77157	4.59804	6.2991	100	4.63714	5.30989	100	5.90479	
100	100	100	1.8382	100	2.92732	3.30338	100	0	100	9.33311	100	1.63436	100	6.3173	1.6164	3.56348	3.59355	100	100	4.65594	100	2.88922	100	7.70582	3.04401	8.71974	8.12995	3.51439	6.10316	
3.52799	6.33672	1.70836	7.56466	5.09986	7.04975	8.70071	1.87621	100	0	6.26043	4.58795	100	6.08234	4.5845	8.06506	100	7.9642	1.70143	1.63182	7.07953	4.48374	9.63179	5.19936	6.08423	6.32994	3.50058	4.68395	4.63402	6.21853	
9.72083	12.597	7.56666	7.94745	10.5041	100	100	6.96477	9.33311	6.26043	0	10.5859	9.6527	12.2376	3.09618	10.608	10.5564	6.92811	7.9115	6.00638	5.35276	9.21331	12.1588	11.3682	1.77336	6.36939	2.9169	1.65488	6.13872	3.49983	
2.9247	2.99378	3.02965	100	1.71284	100	100	5.28576	100	4.58795	10.5859	0	100	1.78488	9.17017	100	100	100	3.4954	4.61888	11.4767	2.90383	100	3.40659	10.639	100	7.67512	9.12764	100	10.7868	
100	100	100	1.72369	100	4.46663	4.45725	100	1.63436	100	9.6527	100	0	100	6.83668	2.87682	1.93533	3.03804	100	10.4247	4.47844	100	3.4972	100	7.92256	3.34114	9.51637	8.66824	4.47977	6.21124	
3.45057	1.68757	4.68076	100	3.05074	100	100	6.38658	100	6.08234	12.2376	1.78488	100	0	10.598	100	100	100	4.70057	6.33754	100	4.53246	100	2.99912	12.1656	100	9.34579	10.7289	100	12.156	
7.57916	10.5917	6.23946	5.11375	9.57954	100	100	4.51904	6.3173	4.5845	3.09618	9.17017	6.83668	10.598	0	7.52844	8.03056	4.51334	5.92952	5.16846	3.1063	8.65428	9.09792	9.11565	1.84541	3.49573	2.92856	1.83431	3.04268	1.68577	
100	100	9.26057	3.45284	12.0114	1.75353	1.68756	6.22279	1.6164	8.06506	10.608	100	2.87682	100	7.52844	0	4.6057	5.20943	7.63865	9.66853	6.21261	12.1078	1.62702	100	9.0617	4.51643	9.65058	9.28279	4.53312	7.53901	
100	100	100	3.17803	100	6.2981	6.00452	100	3.56348	100	10.5564	100	1.93533	100	8.03056	4.6057	0	3.62859	100	12.1003	5.20378	100	4.72989	100	8.78405	4.65495	10.87	9.81158	6.12155	7.05804	
100	100	9.64251	1.75747	12.9986	6.25845	6.89482	100	3.59355	7.9642	6.92811	100	3.03804	100	4.51334	5.20943	3.62859	0	100	9.10615	1.57649	12.4317	6.32628	100	5.15626	1.70748	7.42441	6.23547	3.49062	3.42946	
1.82803	4.71669	1.72234	100	4.51982	6.33391	7.95463	1.79451	100	1.70143	7.9115	3.4954	100	4.70057	5.92952	7.63865	100	100	0	2.91799	8.00721	4.4711	9.09384	3.49847	7.57861	100	5.19898	6.30136	100	7.45901	
4.57683	6.98791	1.70903	8.92231	4.55036	8.68142	10.3323	3.50741	100	1.63182	6.00638	4.61888	10.4247	6.33754	5.16846	9.66853	12.1003	9.10615	2.91799	0	8.0293	3.48716	11.2469	6.19947	6.29947	7.56119	3.09067	4.65386	5.98014	6.85387	
100	100	8.78714	2.91216	12.1779	100	7.85106	100	4.65594	7.07953	5.35276	11.4767	4.47844	100	3.1063	6.21261	5.20378	1.57649	8.00721	8.0293	0	11.4555	7.52312	100	3.58028	1.79157	6.033	4.73073	3.14295	1.85692	
5.03887	5.89736	2.90664	100	1.6074	10.7823	12.3814	6.0204	100	4.48374	9.21331	2.90383	100	4.53246	8.65428	12.1078	100	12.4317	4.4711	3.48716	11.4555	0	13.5612	6.08291	9.7322	10.8119	6.38498	8.03595	9.11281	10.34	
100	100	10.7547	4.63366	13.3616	2.828	1.56194	7.77157	2.88922	9.63179	12.1588	100	3.4972	100	9.09792	1.62702	4.72989	6.32628	9.09384	11.2469	7.52312	13.5612	0	100	10.5691	5.93131	11.2754	10.8734	6.13567	8.98868	
1.67182	1.80958	4.57533	100	5.11792	100	100	4.59804	100	5.19936	11.3682	3.40659	100	2.99912	9.11565	100	100	100	3.49847	6.19947	100	6.08291	100	0	10.8758	100	8.6971	9.73524	100	100	
9.29865	12.286	7.6293	6.23328	10.8406	100	10.5278	6.2991	7.70582	6.08423	1.77336	10.639	7.92256	12.1656	1.84541	9.0617	8.78405	5.15626	7.57861	6.29947	3.58028	9.7322	10.5691	10.8758	0	4.69013	3.41558	1.74042	4.73466	1.73166	
100	100	7.98701	1.61804	11.3232	100	6.11507	100	3.04401	6.32994	6.36939	100	3.34114	100	3.49573	4.51643	4.65495	1.70748	100	7.56119	1.79157	10.8119	5.93131	100	4.69013	0	6.23606	5.32718	1.78477	3.0595	
7.02696	9.79503	4.66611	7.82384	7.61038	100	100	4.63714	8.71974	3.50058	2.9169	7.67512	9.51637	9.34579	2.92856	9.65058	10.87	7.42441	5.19898	3.09067	6.033	6.38498	11.2754	8.6971	3.41558	6.23606	0	1.67844	5.20732	4.43678	
8.09733	11.0069	6.0982	6.94472	9.20371	100	100	5.30989	8.12995	4.68395	1.65488	9.12764	8.66824	10.7289	1.83431	9.28279	9.81158	6.23547	6.30136	4.65386	4.73073	8.03595	10.8734	9.73524	1.74042	5.32718	1.67844	0	4.75302	2.96952	
100	100	100	2.94468	100	100	100	100	3.51439	4.63402	6.13872	100	4.47977	100	3.04268	4.53312	6.12155	3.49062	100	5.98014	3.14295	9.11281	6.13567	100	4.73466	1.78477	5.20732	4.75302	0	3.52356	
9.01446	12.0368	7.89577	4.54212	11.2523	100	9.08046	5.90479	6.10316	6.21853	3.49983	10.7868	6.21124	12.156	1.68577	7.53901	7.05804	3.42946	7.45901	6.85387	1.85692	10.34	8.98868	100	1.73166	3.0595	4.43678	2.96952	3.52356	0	
